date,cash,equity,open_positions
2024-01-02,100000.0,100000.0,0
2024-01-03,100000.0,100000.0,0
2024-01-04,100000.0,100000.0,0
2024-01-05,100000.0,100000.0,0
2024-01-08,100000.0,100000.0,0
2024-01-09,100000.0,100000.0,0
2024-01-10,100000.0,100000.0,0
2024-01-11,100000.0,100000.0,0
2024-01-12,100000.0,100000.0,0
2024-01-16,100000.0,100000.0,0
2024-01-17,100000.0,100000.0,0
2024-01-18,100000.0,100000.0,0
2024-01-19,100000.0,100000.0,0
2024-01-22,100000.0,100000.0,0
2024-01-23,100000.0,100000.0,0
2024-01-24,100000.0,100000.0,0
2024-01-25,100000.0,100000.0,0
2024-01-26,100000.0,100000.0,0
2024-01-29,100000.0,100000.0,0
2024-01-30,100000.0,100000.0,0
2024-01-31,100000.0,100000.0,0
2024-02-01,100000.0,100000.0,0
2024-02-02,100000.0,100000.0,0
2024-02-05,100000.0,100000.0,0
2024-02-06,100000.0,100000.0,0
2024-02-07,100000.0,100000.0,0
2024-02-08,100000.0,100000.0,0
2024-02-09,100000.0,100000.0,0
2024-02-12,100000.0,100000.0,0
2024-02-13,100000.0,100000.0,0
2024-02-14,100000.0,100000.0,0
2024-02-15,100000.0,100000.0,0
2024-02-16,100000.0,100000.0,0
2024-02-20,100000.0,100000.0,0
2024-02-21,100000.0,100000.0,0
2024-02-22,100000.0,100000.0,0
2024-02-23,100000.0,100000.0,0
2024-02-26,100000.0,100000.0,0
2024-02-27,100000.0,100000.0,0
2024-02-28,100000.0,100000.0,0
2024-02-29,100000.0,100000.0,0
2024-03-01,100000.0,100000.0,0
2024-03-04,100000.0,100000.0,0
2024-03-05,100000.0,100000.0,0
2024-03-06,100000.0,100000.0,0
2024-03-07,100000.0,100000.0,0
2024-03-08,100000.0,100000.0,0
2024-03-11,100000.0,100000.0,0
2024-03-12,100000.0,100000.0,0
2024-03-13,100000.0,100000.0,0
2024-03-14,100000.0,100000.0,0
2024-03-15,100000.0,100000.0,0
2024-03-18,100000.0,100000.0,0
2024-03-19,100000.0,100000.0,0
2024-03-20,100000.0,100000.0,0
2024-03-21,100000.0,100000.0,0
2024-03-22,100000.0,100000.0,0
2024-03-25,100000.0,100000.0,0
2024-03-26,100000.0,100000.0,0
2024-03-27,100000.0,100000.0,0
2024-03-28,100000.0,100000.0,0
2024-04-01,100000.0,100000.0,0
2024-04-02,100000.0,100000.0,0
2024-04-03,100000.0,100000.0,0
2024-04-04,100000.0,100000.0,0
2024-04-05,100000.0,100000.0,0
2024-04-08,100000.0,100000.0,0
2024-04-09,100000.0,100000.0,0
2024-04-10,100000.0,100000.0,0
2024-04-11,100000.0,100000.0,0
2024-04-12,100000.0,100000.0,0
2024-04-15,100000.0,100000.0,0
2024-04-16,100000.0,100000.0,0
2024-04-17,100000.0,100000.0,0
2024-04-18,100000.0,100000.0,0
2024-04-19,100000.0,100000.0,0
2024-04-22,100000.0,100000.0,0
2024-04-23,100000.0,100000.0,0
2024-04-24,100000.0,100000.0,0
2024-04-25,100000.0,100000.0,0
2024-04-26,100000.0,100000.0,0
2024-04-29,100000.0,100000.0,0
2024-04-30,100000.0,100000.0,0
2024-05-01,100000.0,100000.0,0
2024-05-02,100000.0,100000.0,0
2024-05-03,100000.0,100000.0,0
2024-05-06,100000.0,100000.0,0
2024-05-07,100000.0,100000.0,0
2024-05-08,100000.0,100000.0,0
2024-05-09,100000.0,100000.0,0
2024-05-10,100000.0,100000.0,0
2024-05-13,100000.0,100000.0,0
2024-05-14,100000.0,100000.0,0
2024-05-15,100000.0,100000.0,0
2024-05-16,100000.0,100000.0,0
2024-05-17,100000.0,100000.0,0
2024-05-20,100000.0,100000.0,0
2024-05-21,100000.0,100000.0,0
2024-05-22,100000.0,100000.0,0
2024-05-23,100000.0,100000.0,0
2024-05-24,100000.0,100000.0,0
2024-05-28,100000.0,100000.0,0
2024-05-29,100000.0,100000.0,0
2024-05-30,100000.0,100000.0,0
2024-05-31,100000.0,100000.0,0
2024-06-03,100000.0,100000.0,0
2024-06-04,100000.0,100000.0,0
2024-06-05,100000.0,100000.0,0
2024-06-06,100000.0,100000.0,0
2024-06-07,100000.0,100000.0,0
2024-06-10,100000.0,100000.0,0
2024-06-11,100000.0,100000.0,0
2024-06-12,100000.0,100000.0,0
2024-06-13,100000.0,100000.0,0
2024-06-14,100000.0,100000.0,0
2024-06-17,100000.0,100000.0,0
2024-06-18,100000.0,100000.0,0
2024-06-20,100000.0,100000.0,0
2024-06-21,100000.0,100000.0,0
2024-06-24,100000.0,100000.0,0
2024-06-25,100000.0,100000.0,0
2024-06-26,100000.0,100000.0,0
2024-06-27,100000.0,100000.0,0
2024-06-28,100000.0,100000.0,0
2024-07-01,100000.0,100000.0,0
2024-07-02,100000.0,100000.0,0
2024-07-03,100000.0,100000.0,0
2024-07-05,100000.0,100000.0,0
2024-07-08,100000.0,100000.0,0
2024-07-09,100000.0,100000.0,0
2024-07-10,100000.0,100000.0,0
2024-07-11,100000.0,100000.0,0
2024-07-12,100000.0,100000.0,0
2024-07-15,100000.0,100000.0,0
2024-07-16,100000.0,100000.0,0
2024-07-17,100000.0,100000.0,0
2024-07-18,100000.0,100000.0,0
2024-07-19,100000.0,100000.0,0
2024-07-22,100000.0,100000.0,0
2024-07-23,100000.0,100000.0,0
2024-07-24,100000.0,100000.0,0
2024-07-25,100000.0,100000.0,0
2024-07-26,100000.0,100000.0,0
2024-07-29,100000.0,100000.0,0
2024-07-30,100000.0,100000.0,0
2024-07-31,100000.0,100000.0,0
2024-08-01,100000.0,100000.0,0
2024-08-02,0.0,101204.6392386528,3
2024-08-05,0.0,98185.73071241051,3
2024-08-06,0.0,101476.16749755142,3
2024-08-07,0.0,97888.69296759923,3
2024-08-08,0.0,104151.70365311814,3
2024-08-09,0.0,105238.54195926726,3
2024-08-12,0.0,106806.42624231998,3
2024-08-13,0.0,111899.74151997421,3
2024-08-14,0.0,112359.92080553611,3
2024-08-15,0.0,116754.59275918314,3
2024-08-16,0.0,117338.34837100646,3
2024-08-19,0.0,119746.20092438685,3
2024-08-20,0.0,117699.1333466713,3
2024-08-21,0.0,117928.47131034972,3
2024-08-22,0.0,114491.51080974577,3
2024-08-23,0.0,118308.73662055559,3
2024-08-26,0.0,115305.54418087164,3
2024-08-27,0.0,116637.75794097225,3
2024-08-28,0.0,114723.21357402435,3
2024-08-29,0.0,111843.6049504577,3
2024-08-30,0.0,114359.31167676154,3
2024-09-03,0.0,105885.48261493206,3
2024-09-04,0.0,105695.02025940112,3
2024-09-05,0.0,106341.19317039469,3
2024-09-06,0.0,99741.56040795028,3
2024-09-09,0.0,103123.44618632772,3
2024-09-10,0.0,105292.13640771704,3
2024-09-11,0.0,112220.99130717461,3
2024-09-12,0.0,114671.15600531915,3
2024-09-13,0.0,115614.65972656597,3
2024-09-16,0.0,113256.26323127557,3
2024-09-17,0.0,112128.68289554844,3
2024-09-18,0.0,111196.98923934481,3
2024-09-19,0.0,115958.09794141489,3
2024-09-20,0.0,115725.73519133522,3
2024-09-23,0.0,116384.92295728167,3
2024-09-24,0.0,119915.28525399067,3
2024-09-25,0.0,121025.24458903112,3
2024-09-26,0.0,122770.70657534909,3
2024-09-27,0.0,118720.8466778285,3
2024-09-30,0.0,117752.49505562538,3
2024-10-01,0.0,114778.05495039836,3
2024-10-02,-1.1368683772161603e-13,116936.15887879921,3
2024-10-03,-1.1368683772161603e-13,119345.92963220783,3
2024-10-04,-1.1368683772161603e-13,121482.85811413826,3
2024-10-07,-1.1368683772161603e-13,122787.9934871021,3
2024-10-08,-1.1368683772161603e-13,126118.33662194754,3
2024-10-09,-1.1368683772161603e-13,127472.87456165707,3
2024-10-10,-1.1368683772161603e-13,127822.48149406305,3
2024-10-11,-1.1368683772161603e-13,127970.54357292649,3
2024-10-14,-1.1368683772161603e-13,129544.58028152282,3
2024-10-15,-1.1368683772161603e-13,124848.42806751037,3
