symbol,date,action,price,shares,notional,commission,reason
NVDA,2024-08-02,BUY,103.81188213729858,321.093622878811,33333.33333333333,3.333333333333333,rotation_rebalance_open
AVGO,2024-08-02,BUY,142.00095767211914,234.74020090977237,33333.33333333333,3.333333333333333,rotation_rebalance_open
TSM,2024-08-02,BUY,151.325625,220.20946110900485,33323.33433323335,3.3323334333233356,rotation_rebalance_open
AVGO,2024-09-04,SELL,150.22485305023193,3.6324616128260914,545.6860119974081,0.05456860119974081,rotation_rebalance_open
TSM,2024-09-04,SELL,159.22035305023195,2.158021377269477,343.600925578794,0.0343600925578794,rotation_rebalance_open
NVDA,2024-09-04,BUY,105.46270866394042,8.430554356476996,889.1090979726471,0.08891090979726471,rotation_rebalance_open
NVDA,2024-10-02,SELL,116.38178244018556,0.8687244479378095,101.10369970036845,0.010110369970036845,rotation_rebalance_open
AVGO,2024-10-02,SELL,167.46622805023193,2.7074719941339045,453.41012240924465,0.04534101224092447,rotation_rebalance_open
TSM,2024-10-02,BUY,173.0464867172241,3.203780330659418,554.4029304343588,0.05544029304343589,rotation_rebalance_open
NVDA,2024-11-04,SELL,137.14140171051025,21.070469937838624,2889.6337819743567,0.28896337819743567,rotation_rebalance_open
TSM,2024-11-04,SELL,193.60314694976807,3.367467727736151,651.9523493415036,0.06519523493415036,rotation_rebalance_open
AVGO,2024-11-04,BUY,169.36463877868653,20.90683102711423,3540.8778849142373,0.35408778849142375,rotation_rebalance_open
NVDA,2024-12-03,SELL,138.19086450958252,307.58498284951156,42505.43469013912,4.250543469013912,rotation_rebalance_open
TSM,2024-12-03,SELL,193.40325,1.361286407549548,263.27721540090715,0.026327721540090717,rotation_rebalance_open
AVGO,2024-12-03,BUY,164.56223572540281,5.420273912007628,891.9723932040506,0.08919723932040506,rotation_rebalance_open
MRVL,2024-12-03,BUY,97.8388959159851,427.9298762855629,41868.18662524357,4.186818662524358,rotation_rebalance_open
AVGO,2025-01-03,SELL,233.4732013397217,36.48023329725969,8517.15685353113,0.8517156853531131,rotation_rebalance_open
TSM,2025-01-03,BUY,204.20205610656737,33.25899948227175,6791.55607832715,0.6791556078327151,rotation_rebalance_open
MRVL,2025-01-03,BUY,115.16755561065673,14.968603831336882,1723.8975141593799,0.172389751415938,rotation_rebalance_open
TSM,2025-02-04,SELL,203.96797232055664,10.287637092217716,2098.348477669395,0.2098348477669395,rotation_rebalance_open
AVGO,2025-02-04,BUY,219.45968110656736,4.569686847536151,1002.8620183171588,0.10028620183171588,rotation_rebalance_open
MRVL,2025-02-04,BUY,107.93393725204467,10.14571375324058,1095.0668316194754,0.10950668316194755,rotation_rebalance_open
